datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2026-04-28 13:00:00+00:00,76372.04,76411.72,75924.98,76189.84,1288.525,98144621.7143475,197727,599.06339,45634508.9971768
2026-04-28 14:00:00+00:00,76189.85,76199.99,75666.6,75949.99,1264.2758,95908641.0863384,248276,540.81443,41033080.5018268
2026-04-28 15:00:00+00:00,75950.0,76085.42,75836.88,76066.38,571.95819,43465481.1749352,147410,286.76723,21793802.1162027
2026-04-28 16:00:00+00:00,76066.37,76218.06,75881.28,76125.04,447.54534,34025084.5278967,117824,194.39085,14777994.9147422
2026-04-28 17:00:00+00:00,76125.04,76262.63,75959.05,76187.3,337.12149,25664024.8174395,88142,175.61563,13370075.3530754
2026-04-28 18:00:00+00:00,76187.3,76280.91,76137.86,76242.18,337.48355,25718473.9084115,73755,166.57072,12693906.1820452
2026-04-28 19:00:00+00:00,76242.17,76380.83,76066.35,76330.97,259.65416,19796172.3608617,60525,135.63258,10340092.781663
2026-04-28 20:00:00+00:00,76330.97,76480.0,76323.71,76463.95,259.71578,19843199.4585084,53845,173.67622,13269948.577501
2026-04-28 21:00:00+00:00,76463.95,76481.3,76267.61,76357.15,281.17357,21477545.3939097,49090,139.25761,10637633.5161379
2026-04-28 22:00:00+00:00,76357.15,76446.26,76218.0,76242.17,157.60986,12030079.6709393,51911,66.50557,5076675.5148324
2026-04-28 23:00:00+00:00,76242.17,76370.0,76197.02,76342.77,179.93985,13730289.853155,44250,110.11999,8403151.9459916
2026-04-29 00:00:00+00:00,76342.78,76557.97,76276.0,76512.0,636.88517,48665597.60029,70170,342.84369,26197416.6069446
2026-04-29 01:00:00+00:00,76511.99,76668.02,76187.75,76571.0,371.48818,28395383.7707144,86941,211.21934,16147517.3999755
2026-04-29 02:00:00+00:00,76571.0,76666.82,76402.72,76531.29,315.29662,24124805.1037399,61130,179.49473,13733803.0551672
2026-04-29 03:00:00+00:00,76531.29,77127.62,76519.94,76994.78,568.25927,43688040.4880299,126002,363.45732,27938883.2870351
2026-04-29 04:00:00+00:00,76994.77,77455.71,76880.0,77269.76,655.24397,50584234.259835,118055,353.64752,27298418.6908691
2026-04-29 05:00:00+00:00,77269.76,77329.31,77198.07,77288.38,412.95649,31904881.1261478,72991,220.93467,17069426.8080234
2026-04-29 06:00:00+00:00,77288.39,77337.57,76907.07,77031.06,974.38933,75097495.6998296,89999,569.33671,43873862.2841742
2026-04-29 07:00:00+00:00,77031.07,77182.91,77031.06,77053.64,931.98531,71823640.8185772,67058,504.40951,38871687.7263303
2026-04-29 08:00:00+00:00,77053.65,77148.79,76972.32,77046.32,539.09721,41531536.2220876,65869,281.52211,21690968.5629341
2026-04-29 09:00:00+00:00,77046.31,77800.0,76972.32,77642.0,835.54071,64717488.3713181,128804,575.44855,44561143.2827493
2026-04-29 10:00:00+00:00,77642.0,77904.93,77559.19,77619.61,790.81622,61465699.0963253,130604,406.79978,31621147.5539487
2026-04-29 11:00:00+00:00,77619.62,77694.61,77485.81,77590.03,531.7514,41254142.850333,93726,233.8469,18142678.7210082
2026-04-29 12:00:00+00:00,77590.04,77596.39,76850.0,77143.68,1776.35149,137220353.912218,165165,607.73143,46931585.2264149
2026-04-29 13:00:00+00:00,77143.68,77240.0,76425.62,76783.43,1000.6949,76863480.2771353,244561,477.0633,36632334.8611184
2026-04-29 14:00:00+00:00,76783.42,76927.69,76489.99,76570.0,1353.72071,103831096.0320672,211273,948.0707,72742146.992006
2026-04-29 15:00:00+00:00,76570.0,76634.61,75705.32,75924.25,1132.75734,86248554.826363,263826,578.09727,44032288.9180099
2026-04-29 16:00:00+00:00,75924.24,76125.47,75696.13,75803.54,1021.10079,77472168.8628467,164211,588.50494,44654803.0853947
