datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2026-05-08 16:00:00+00:00,643.92,644.15,642.36,642.47,2523.88,1622990.50971,23122,1224.859,787620.31932
2026-05-08 17:00:00+00:00,642.47,647.08,642.38,645.75,4934.115,3182295.53171,41539,3037.423,1959277.91248
2026-05-08 18:00:00+00:00,645.76,649.5,645.76,647.7,4763.448,3086835.51827,41370,2647.152,1715448.82643
2026-05-08 19:00:00+00:00,647.71,648.77,646.89,648.09,2833.688,1835512.73356,24767,1553.596,1006349.67201
2026-05-08 20:00:00+00:00,648.1,648.94,645.86,646.66,4486.012,2903681.07215,24676,1393.065,902108.40641
2026-05-08 21:00:00+00:00,646.67,650.01,646.19,650.01,2636.474,1709401.64566,16906,1659.063,1075903.09761
2026-05-08 22:00:00+00:00,650.02,651.53,649.99,650.07,3484.235,2267596.36685,20686,1715.096,1116269.79913
2026-05-08 23:00:00+00:00,650.07,650.5,647.81,649.36,2353.61,1527544.66888,16848,1139.161,739404.29122
2026-05-09 00:00:00+00:00,649.37,652.41,649.01,651.9,4427.702,2883185.85534,22440,2910.208,1895056.00846
2026-05-09 01:00:00+00:00,651.9,655.88,651.87,654.41,6373.98,4168662.82196,31942,3853.966,2520477.69444
2026-05-09 02:00:00+00:00,654.41,655.17,653.7,654.26,4306.747,2818585.0334,25103,2232.807,1461243.96878
2026-05-09 03:00:00+00:00,654.26,654.92,652.98,653.66,3344.886,2187240.28362,22749,1727.994,1129902.42526
2026-05-09 04:00:00+00:00,653.67,656.0,652.96,653.17,7758.841,5078252.69025,32194,5009.951,3279291.21361
2026-05-09 05:00:00+00:00,653.17,653.17,650.91,651.15,14679.748,9570454.1151,45497,3937.581,2567043.98602
2026-05-09 06:00:00+00:00,651.16,651.93,649.88,651.6,6798.258,4426698.59077,30264,3098.308,2017491.33457
2026-05-09 07:00:00+00:00,651.6,651.6,648.95,649.77,3369.149,2190913.74357,21092,1284.605,835284.55342
2026-05-09 08:00:00+00:00,649.77,650.96,649.66,650.63,1954.073,1270839.25508,14999,1033.382,672060.38359
2026-05-09 09:00:00+00:00,650.63,651.03,648.55,649.8,2443.213,1586975.56418,19441,1175.679,763737.13573
2026-05-09 10:00:00+00:00,649.8,649.91,648.43,649.18,2669.912,1732734.39154,17549,1331.253,863972.33754
2026-05-09 11:00:00+00:00,649.19,650.61,649.07,650.04,2755.429,1791468.37438,18512,1586.858,1031665.52255
2026-05-09 12:00:00+00:00,650.05,650.67,649.07,649.83,2516.72,1635619.41949,19044,1529.449,994020.37081
2026-05-09 13:00:00+00:00,649.84,649.96,648.42,649.46,2857.323,1855140.55098,19020,1438.262,933910.3594
2026-05-09 14:00:00+00:00,649.46,649.51,646.85,647.0,3317.145,2149107.33507,24163,1386.253,898102.85473
2026-05-09 15:00:00+00:00,647.0,648.5,646.23,647.66,2677.538,1733395.94836,23130,1228.073,795121.72032
2026-05-09 16:00:00+00:00,647.67,649.79,647.01,648.35,5753.775,3730898.36771,26478,1986.261,1287831.05279
2026-05-09 17:00:00+00:00,648.35,650.62,648.34,649.9,6760.881,4392507.02075,24050,2417.544,1570832.01837
2026-05-09 18:00:00+00:00,649.9,651.84,649.87,651.08,1857.939,1209132.26935,15292,1002.261,652244.95843
2026-05-09 19:00:00+00:00,651.09,651.27,650.46,651.01,1236.501,804841.00235,11453,621.42,404491.69419
2026-05-09 20:00:00+00:00,651.01,651.38,650.0,650.62,2647.714,1722948.22636,10788,1782.106,1159781.02934
2026-05-09 21:00:00+00:00,650.63,652.33,650.61,651.48,4837.196,3152313.47178,19760,3053.122,1989653.03749
2026-05-09 22:00:00+00:00,651.49,652.36,650.49,651.0,1773.34,1155234.52691,14334,835.625,544434.69437
2026-05-09 23:00:00+00:00,650.99,651.59,649.53,649.75,1234.882,802940.25561,9244,570.051,370692.53861
2026-05-10 00:00:00+00:00,649.76,650.5,646.49,646.9,7885.408,5109298.96444,22511,3711.082,2403947.22464
2026-05-10 01:00:00+00:00,646.9,646.9,644.84,646.69,4043.912,2611730.48691,22059,1884.247,1217023.01933
2026-05-10 02:00:00+00:00,646.69,647.86,645.63,647.69,2478.35,1603471.04156,19174,1576.019,1019780.35507
2026-05-10 03:00:00+00:00,647.7,648.89,646.95,647.7,3616.464,2342541.28916,16241,1804.548,1169069.03611
2026-05-10 04:00:00+00:00,647.71,648.68,647.34,648.01,1281.783,830540.45531,13628,659.545,427335.27695
2026-05-10 05:00:00+00:00,648.0,648.79,647.58,648.39,1810.672,1174018.85805,13458,953.768,618389.54935
2026-05-10 06:00:00+00:00,648.39,648.95,647.28,648.51,2809.221,1820484.44212,14082,1401.23,907977.77871
2026-05-10 07:00:00+00:00,648.51,649.29,647.83,648.28,2697.372,1749551.06549,14517,1185.065,768631.05247
2026-05-10 08:00:00+00:00,648.29,650.72,648.0,650.37,3265.296,2121558.05404,18265,1634.194,1061711.16078
2026-05-10 09:00:00+00:00,650.37,651.9,649.64,651.37,6704.574,4365950.44266,22341,2745.797,1787742.70885
2026-05-10 10:00:00+00:00,651.37,651.63,649.82,650.9,2560.84,1665907.71196,20370,1319.278,858185.6399
2026-05-10 11:00:00+00:00,650.91,651.41,647.71,649.59,3531.255,2292959.808,20561,1504.095,976482.22037
2026-05-10 12:00:00+00:00,649.59,649.64,648.47,649.61,2186.297,1419086.52782,17126,1130.288,733723.25643
2026-05-10 13:00:00+00:00,649.62,651.52,649.18,651.09,3861.152,2511491.51334,19750,2100.085,1365675.13462
2026-05-10 14:00:00+00:00,651.1,652.49,649.99,651.7,3921.31,2553212.65669,23601,1853.95,1207234.01413
2026-05-10 15:00:00+00:00,651.71,656.2,651.7,655.5,7514.226,4913958.17743,34646,3957.085,2588275.6294
