date,mcap_BTC,mcap_BNB,mcap_SOL,mcap_ETH,mcap_XRP,mcap_INJ,mcap_DOGE,mcap_LTC,total_mcap_8tokens,btc_dominance_pct
2026-06-09,1257410028144.0745,80686612326.93013,38156607074.45993,201107087913.555,71591187396.15218,546977487.781586,14500746816.848776,3283366947.872404,1667282614107.6746,75.4167
2026-06-10,1237770527085.838,80067006265.71979,37672129455.02799,197945782514.09155,70566483014.0209,553650642.4802437,13126331048.403198,3333352501.7980094,1641035262527.3796,75.4262
2026-06-21,1280853972117.8503,79224054150.74127,42461799640.421646,208243996260.03772,70964680755.71304,498425817.19029444,12839530488.88127,3459737678.2741795,1698546196909.1099,75.4088
