date,close,volume_usdt,approx_mcap,vol_mcap_ratio,pct_change_1d,trades
2026-04-28,624.55,18072307.42983,90559750000.0,0.00019956224956263683,0.0,211322
2026-04-29,617.39,63262853.78308,89521550000.0,0.000706677373024484,-1.1464254263069407,659343
2026-04-30,615.38,48478985.45592,89230100000.0,0.0005433030497099074,-0.32556406809309824,506354
2026-05-01,615.34,54465481.586500004,89224300000.0,0.0006104332741921204,-0.006500048750357479,489616
2026-05-02,618.03,32066556.01918,89614350000.0,0.00035782836140841283,0.43715669386028555,301097
2026-05-03,617.27,45057448.71424,89504150000.0,0.0005034118386045786,-0.12297137679400105,374245
2026-05-04,622.63,129546423.00309001,90281350000.0,0.001434918983855359,0.8683396244755226,1028643
2026-05-05,630.42,92527196.40466,91410900000.0,0.001012211852248036,1.2511443393347532,707735
2026-05-06,647.74,156387243.87649,93922300000.0,0.0016650704239194525,2.747374766028998,1073411
2026-05-07,637.02,92876311.73249,92367900000.0,0.0010055042036518098,-1.6549850248556597,858520
2026-05-08,649.36,69043114.76978,94157200000.0,0.000733274935637211,1.9371448306175765,679524
2026-05-09,649.75,64050089.11391,94213750000.0,0.0006798380184836078,0.060059135148460285,518538
2026-05-10,663.55,78052969.18864,96214750000.0,0.0008112370420194409,2.123893805309729,675636
2026-05-11,670.6,120891525.79175,97237000000.0,0.0012432667173169678,1.0624670333810649,970415
2026-05-12,664.95,106821223.52236,96417750000.0,0.001107899982341011,-0.8425290784372153,970952
2026-05-13,671.68,152664824.09562,97393600000.0,0.0015675036562527722,1.0121061733964876,1254124
2026-05-14,678.27,108004625.97265,98349150000.0,0.001098175489799861,0.9811219628394596,1052466
2026-05-15,672.38,113246350.97474,97495100000.0,0.0011615594114446777,-0.8683857460893174,1067843
2026-05-16,656.2,85527861.87184,95149000000.0,0.0008988834551265909,-2.40637734614354,826379
2026-05-17,649.48,62475461.3227,94174600000.0,0.0006634003364251082,-1.0240780249923809,560711
2026-05-18,643.53,80930592.70051,93311850000.0,0.0008673131301170215,-0.9161175093921337,813577
2026-05-19,640.02,51927107.78688,92802900000.0,0.0005595418654684282,-0.5454291175236547,564331
2026-05-20,649.5,53508039.167840004,94177500000.0,0.0005681616008902339,1.4812037123839827,548397
2026-05-21,658.58,67332314.04883,95494100000.0,0.0007050939696675502,1.3979984603541329,616029
2026-05-22,650.44,81467709.91507,94313800000.00002,0.0008637941628379938,-1.235992590118129,660506
2026-05-23,656.26,73178744.49039,95157700000.0,0.000769025990438924,0.8947789188856747,651522
2026-05-24,656.57,48408849.31362,95202650000.0,0.0005084821621417051,0.04723737543048667,490374
2026-05-25,663.15,75917224.40367,96156750000.0,0.0007895152904363968,1.0021779855917679,631699
2026-05-26,656.43,80704734.83881,95182350000.0,0.0008478960105398742,-1.013345396969012,830144
2026-05-27,648.84,66485960.09763,94081800000.0,0.0007066824837283087,-1.1562542845390822,665191
2026-05-28,638.24,92468552.2048,92544800000.0,0.0009991760985468658,-1.633684729671414,854477
2026-05-29,643.1,73622215.81009,93249500000.0,0.0007895186120042468,0.761469039859608,702285
2026-05-30,718.74,394144069.03446,104217300000.0,0.003781944735034011,11.761778883532891,1943687
2026-05-31,710.55,275776613.37883997,103029750000.0,0.002676669732565982,-1.1394941147007343,1939172
2026-06-01,693.1,372540495.34028,100499500000.0,0.003706889042634839,-2.4558440644571022,2485041
2026-06-02,650.69,208057216.11828,94350050000.00002,0.002205162754214544,-6.118886163612746,1717553
2026-06-03,620.63,191310282.31226,89991350000.0,0.0021258741235936564,-4.619711383300817,1444090
2026-06-04,604.53,242449840.94779998,87656850000.0,0.002765897256720952,-2.5941382143950587,1936141
2026-06-05,572.22,310532272.74298,82971900000.0,0.003742619763353376,-5.344647908292388,2256688
2026-06-06,574.53,129951323.11359,83306850000.0,0.00155991161727505,0.40369088811993414,1039286
2026-06-07,604.44,113738381.38438,87643800000.00002,0.0012977344818958098,5.205994465040997,792564
2026-06-08,601.86,73050784.51562999,87269700000.0,0.0008370692750820731,-0.42684137383364185,689316
2026-06-09,599.41,12957261.19454,86914450000.0,0.00014908063267431366,-0.4070714119562724,109615
