date,close,volume_usdt,approx_mcap,vol_mcap_ratio,pct_change_1d,trades
2026-04-28,55.71,6138791.61776,4122540000.0,0.0014890799404638888,0.0,49336
2026-04-29,55.32,22821827.26244,4093680000.0,0.005574892825633659,-0.7000538502961784,188804
2026-04-30,55.19,10868251.84975,4084060000.0,0.0026611391237518545,-0.2349963846710046,106126
2026-05-01,55.4,13868975.85344,4099600000.0,0.0033830070868962826,0.38050371444102726,108255
2026-05-02,55.39,9186449.95205,4098860000.0,0.002241220717967923,-0.018050541516245744,72397
2026-05-03,55.29,8580792.59496,4091460000.0,0.0020972446498218242,-0.18053800324968616,78735
2026-05-04,54.96,23728762.417740002,4067040000.0,0.00583440596053641,-0.5968529571351078,158136
2026-05-05,56.34,19386731.05185,4169160000.0000005,0.004650032872772932,2.510917030567694,114282
2026-05-06,56.73,21828553.25,4198020000.0,0.005199725882678024,0.6922257720979541,164697
2026-05-07,56.42,17400679.56658,4175080000.0,0.004167747580065532,-0.5464480874316835,148023
2026-05-08,58.32,19345180.86227,4315680000.0,0.004482533659184648,3.367600141793692,156984
2026-05-09,58.0,14132410.59393,4292000000.0,0.0032927331299930102,-0.5486968449931462,115995
2026-05-10,60.43,20311921.65216,4471820000.0,0.0045422046621196735,4.1896551724137865,182187
2026-05-11,58.52,19392589.75127,4330480000.0,0.004478161716777355,-3.1606817805725607,189558
2026-05-12,58.12,17597733.27429,4300880000.0,0.004091658747579565,-0.6835269993164861,163282
2026-05-13,57.01,20200646.49471,4218740000.0,0.004788312741413313,-1.9098417068134865,157947
2026-05-14,58.21,20469310.05944,4307540000.0,0.004751972137099133,2.104893878266978,162318
2026-05-15,57.5,18151676.28192,4255000000.0,0.004265963873541716,-1.2197216973028668,182630
2026-05-16,56.14,12311416.10177,4154360000.0,0.002963492836867773,-2.3652173913043417,123080
2026-05-17,54.57,15202990.12346,4038180000.0,0.0037648123965400254,-2.796579978624869,129779
2026-05-18,54.37,20797085.90704,4023380000.0,0.0051690583308163784,-0.3665017408832738,192991
2026-05-19,54.5,12984096.63841,4033000000.0,0.003219463585026035,0.2391024462019553,112667
2026-05-20,53.96,15964274.81833,3993040000.0,0.003998025268549777,-0.9908256880733934,141187
2026-05-21,54.18,16587450.56221,4009320000.0,0.004137222911169475,0.40770941438101893,148158
2026-05-22,52.65,18671133.85716,3896100000.0,0.004792262482266882,-2.8239202657807327,179452
2026-05-23,53.49,14794545.21899,3958260000.0,0.0037376385631540123,1.5954415954416046,154705
2026-05-24,52.76,10494707.6665,3904240000.0,0.0026880283144734957,-1.364741073097786,103247
2026-05-25,52.73,12702542.4724,3902020000.0,0.003255376054556358,-0.05686125852919499,104038
2026-05-26,51.92,12169703.16055,3842080000.0,0.003167477814243847,-1.5361274416840431,129051
2026-05-27,51.97,12986462.65388,3845780000.0,0.0033768085157965355,0.09630200308166081,130303
2026-05-28,51.67,17182380.0777,3823580000.0,0.0044937937947421005,-0.5772561092938222,162328
2026-05-29,51.89,12414391.32513,3839860000.0,0.0032330322785544268,0.42577898200115705,127074
2026-05-30,52.45,10597723.1916,3881300000.0,0.0027304571127199652,1.079206012719225,91594
2026-05-31,52.07,8922995.96736,3853180000.0,0.0023157485420769335,-0.7244995233555818,88436
2026-06-01,50.79,16437557.14638,3758460000.0,0.0043734819969828065,-2.4582293067025196,165718
2026-06-02,46.91,25176861.28304,3471339999.9999995,0.00725277883556206,-7.639299074620998,279956
2026-06-03,47.14,22151220.36466,3488360000.0,0.006350038518002729,0.4903005755702461,244495
2026-06-04,45.64,24826265.59635,3377360000.0,0.007350790438789469,-3.1820110309715766,360329
2026-06-05,43.32,27781251.44864,3205680000.0,0.008666258468917672,-5.083260297984227,444150
2026-06-06,41.39,18743878.89692,3062860000.0,0.006119730871446948,-4.455216989843025,272577
2026-06-07,42.83,20874572.05589,3169420000.0,0.006586243557461618,3.4791012321816916,260522
2026-06-08,43.03,16339485.36503,3184220000.0,0.005131393360078763,0.4669624095260394,213677
2026-06-09,42.49,2400581.23348,3144260000.0,0.0007634805116243568,-1.254938415059259,31883
