date,close,volume_usdt,approx_mcap,vol_mcap_ratio,pct_change_1d,trades
2026-04-28,76342.77,459540074.87276,1503952569000.0,0.00030555489870156936,0.0,1251117
2026-04-29,75780.0,1399735858.3455281,1492866000000.0,0.0009376165431763656,-0.7371621438415188,3032890
2026-04-30,76346.57,790584591.689154,1504027429000.0002,0.0005256450623475656,0.7476510952758142,2569480
2026-05-01,78231.13,1347837835.9195642,1541153261000.0,0.0008745644382214134,2.46842785471566,2388458
2026-05-02,78686.85,482238389.44940984,1550130945000.0,0.0003110952600519886,0.5825302536215382,936143
2026-05-03,78568.57,584294330.4516286,1547800829000.0002,0.0003774996882700523,-0.15031736560809916,1352474
2026-05-04,79861.01,2074174850.511439,1573261897000.0,0.0013183913336149646,1.644983483853646,3734604
2026-05-05,80905.52,1374319029.230936,1593838744000.0,0.0008622698089154595,1.3079098298406366,2490930
2026-05-06,81447.01,1535650624.7612484,1604506097000.0,0.0009570861884741397,0.6692868422327525,2794707
2026-05-07,80006.0,1300766382.102334,1576118200000.0,0.0008252974821953925,-1.7692607745821376,2540329
2026-05-08,80193.17,1278566045.4172618,1579805449000.0,0.0008093186703632277,0.23394495412842886,2265372
2026-05-09,80678.4,607596225.9864202,1589364480000.0,0.0003822887912950088,0.6050764672352882,1002373
2026-05-10,82210.07,977223714.2634745,1619538379000.0002,0.000603396453541824,1.8984883190544366,1801608
2026-05-11,81745.65,1053193670.8757555,1610389305000.0,0.0006539994196470123,-0.5649186285816454,2576396
2026-05-12,80504.47,1000180167.440677,1585938059000.0,0.0006306552527475961,-1.5183437895472052,2345137
2026-05-13,79313.61,1184929842.8688235,1562478117000.0,0.0007583657204389656,-1.4792470529897295,2350570
2026-05-14,81089.99,1590656475.018797,1597472803000.0,0.0009957330553807225,2.239691271145028,3101046
2026-05-15,79113.21,1387152674.368868,1558530237000.0002,0.0008900389876547951,-2.4377608136343376,3184114
2026-05-16,78148.05,949890656.658851,1539516585000.0,0.0006170057964389198,-1.2199732509905803,1597661
2026-05-17,77457.67,658061481.644852,1525916099000.0,0.0004312566608846376,-0.8834257540655255,1570433
2026-05-18,77001.87,1439862031.891971,1516936839000.0,0.0009491904968443917,-0.5884504400919921,3529328
2026-05-19,76834.36,846904378.3078035,1513636892000.0,0.0005595162107794367,-0.21754017142699977,2315121
2026-05-20,77552.23,873091271.4716351,1527778931000.0,0.0005714774917730785,0.9343085567446563,2437754
2026-05-21,77615.52,878168697.2277492,1529025744000.0,0.0005743321854937644,0.0816095165800057,2473146
2026-05-22,75539.5,866200460.9104595,1488128150000.0,0.00058207383612121,-2.6747485554435513,2370783
2026-05-23,76752.01,1138996605.773816,1512014597000.0,0.0007532973610398393,1.605133737978126,2103536
2026-05-24,77064.96,644925517.611316,1518179712000.0002,0.0004248018284750441,0.40774176467823775,1612969
2026-05-25,77322.01,593868004.9975973,1523243597000.0,0.0003898706721414811,0.3335497741126403,1778509
2026-05-26,75930.01,1299609317.6975918,1495821197000.0,0.0008688266487358728,-1.8002635989416205,3360745
2026-05-27,74449.3,1270680262.9088242,1466651210000.0,0.0008663820370139839,-1.9500985183592001,3367068
2026-05-28,73617.51,1560808525.5072746,1450264947000.0,0.0010762230230661946,-1.1172569789104858,3799713
2026-05-29,73460.78,1376106492.906427,1447177366000.0,0.0009508900050793268,-0.21289771957785364,2897318
2026-05-30,73884.38,553989386.1115206,1455522286000.0,0.0003806120946687591,0.5766342257732759,1124406
2026-05-31,73674.39,515907532.5891972,1451385483000.0,0.000355458655630771,-0.2842143359665483,1363437
2026-06-01,71408.9,1723958338.6828775,1406755330000.0,0.0012254855566695294,-3.075003403489329,4237773
2026-06-02,66760.83,2253348577.983128,1315188351000.0,0.0017133276585591718,-6.509090603552203,6250677
2026-06-03,64142.75,1998349981.8929439,1263612175000.0,0.0015814583156362385,-3.9215809629688625,6676358
2026-06-04,63885.99,2759349733.489383,1258554003000.0,0.002192476228204713,-0.4002946552806086,9057976
2026-06-05,61056.47,3379021750.503328,1202812459000.0,0.0028092673344210246,-4.429014874779269,11658856
2026-06-06,60884.62,1202325958.4682336,1199427014000.0,0.0010024169411180475,-0.28146075264422477,5000874
2026-06-07,63332.01,1656650772.813708,1247640597000.0,0.001327826921308259,4.019717951758595,4752461
2026-06-08,63085.99,1462563286.7512202,1242794003000.0,0.0011768348440857582,-0.3884607483640612,4887564
2026-06-09,62836.06,232903347.2854147,1237870382000.0,0.00018814841252532262,-0.3961735402741584,697726
